      family domain.file problem                       planner      instance.N planner.calls.mean plan.size.mean instance.time.mean prep.time.mean exec.time.mean
74   medpks*      d.pddl    p099 hop(num-sampled-scenarios=05)               6           1.000000       1.833333       1.653437e-01   3.786895e-01   1.653437e-01
75   medpks*      d.pddl    p099 hop(num-sampled-scenarios=10)               7           1.000000       2.000000       2.845893e-01   2.617297e-01   2.845893e-01
76   medpks*      d.pddl    p150                            ff             151           1.993377       1.993377       1.507183e+01   1.580589e+01   1.189404e-01
77   medpks*      d.pddl    p150 hop(num-sampled-scenarios=05)              32           1.000000       1.968750       4.535284e-01   7.140439e-01   4.535284e-01
78   medpks*      d.pddl    p150 hop(num-sampled-scenarios=10)              77           1.000000       2.000000       9.372532e-01   7.214989e-01   9.372532e-01
79   medpks*      d.pddl    p199                            ff             200           1.995000       1.995000       3.527752e+01   3.684878e+01   1.944510e-01
80   medpks*      d.pddl    p199 hop(num-sampled-scenarios=05)              15           1.000000       1.933333       1.140071e+00   1.452623e+00   1.140071e+00
81   medpks*      d.pddl    p199 hop(num-sampled-scenarios=10)              10           1.000000       2.000000       2.054927e+00   1.429690e+00   2.054927e+00

82      unix      d.pddl      p1                            ff               4           5.000000      11.750000       9.400500e-02   7.800500e-02   2.500000e-02
83      unix      d.pddl      p1 hop(num-sampled-scenarios=05)**             4           4.500000      12.500000       1.500050e-02   9.000000e-03   1.500050e-02
84      unix      d.pddl      p1 hop(num-sampled-scenarios=10)               4           3.000000       7.000000       2.400175e-02   9.000000e-03   2.400175e-02
85      unix      d.pddl      p2                            ff              12           9.000000      23.250000       3.156857e-01   2.430195e-01   9.100025e-02
86      unix      d.pddl      p2 hop(num-sampled-scenarios=05)**            12           7.666667      30.666667       9.600592e-02   2.633433e-02   9.600592e-02
87      unix      d.pddl      p2 hop(num-sampled-scenarios=10)              12          12.083333      55.333333       2.853510e-01   2.433425e-02   2.853510e-01
88      unix      d.pddl      p3                            ff              28          17.000000      46.535714       2.014125e+00   1.743056e+00   3.286432e-01
89      unix      d.pddl      p3 hop(num-sampled-scenarios=05)**            28          10.785714      61.714286       8.794833e-01   1.241498e-01   8.794833e-01
90      unix      d.pddl      p3 hop(num-sampled-scenarios=10)              28          13.714286      79.535714       1.996982e+00   1.268644e-01   1.996982e+00
91      unix      d.pddl      p4                            ff              60          33.000000      93.716667       2.498196e+01   2.407980e+01   1.171370e+00
92      unix      d.pddl      p4 hop(num-sampled-scenarios=05)**            60          35.650000     282.050000       2.209738e+01   8.413851e-01   2.209738e+01
93      unix      d.pddl      p4 hop(num-sampled-scenarios=10)              60          22.300000     170.100000       2.906748e+01   8.886547e-01   2.906748e+01

94    wumpus        p05d    p05d                            ff**             8           2.250000      16.250000       1.135061e-01   1.327590e-01   3.875013e-02
95    wumpus        p05d    p05d hop(num-sampled-scenarios=05)               8           2.500000      15.750000       4.000250e-02   6.550350e-02   4.000250e-02
96    wumpus        p05d    p05d hop(num-sampled-scenarios=10)               8           2.500000      15.250000       8.150512e-02   6.750338e-02   8.150512e-02
97    wumpus        p07d    p07d                            ff              32           3.281250      23.812500       4.390267e-01   4.846598e-01   1.078757e-01
98    wumpus        p07d    p07d hop(num-sampled-scenarios=05)**            32           3.875000      33.812500       3.073943e-01   2.103874e-01   3.073943e-01
99    wumpus        p07d    p07d hop(num-sampled-scenarios=10)              32           3.281250      31.187500       5.702857e-01   2.227632e-01   5.702857e-01
100   wumpus        p10d    p10d                            ff**           256           4.207031      32.960938       2.602193e+00   2.788767e+00   3.076437e-01
101   wumpus        p10d    p10d hop(num-sampled-scenarios=05)             256           5.539062      60.031250       2.847116e+00   8.138000e-01   2.847116e+00
102   wumpus        p10d    p10d hop(num-sampled-scenarios=10)             256           5.027344      57.617188       5.991233e+00   9.275415e-01   5.991233e+00
103   wumpus        p15d    p15d                            ff**          1000           5.093000      46.062000       3.052886e+01   3.160020e+01   1.046711e+00
104   wumpus        p15d    p15d hop(num-sampled-scenarios=05)            1000           9.897000     125.082000       6.309331e+01   4.569377e+00   6.309331e+01
105   wumpus        p15d    p15d hop(num-sampled-scenarios=10)            1000           7.794000     106.898000       9.968793e+01   4.554688e+00   9.968793e+01
106   wumpus        p20d    p20d                            ff**          1000           5.039000      55.690000       1.541721e+02   1.577832e+02   3.039208e+00
107   wumpus        p20d    p20d hop(num-sampled-scenarios=05)            1000          10.680000     144.550000       4.231219e+02   1.544980e+01   4.231219e+02
108   wumpus*       p20d    p20d hop(num-sampled-scenarios=10)             999           9.378378     138.236236       7.250134e+02   1.493587e+01   7.250134e+02
109   wumpus        p25d    p25d                            ff**          1000           5.207000      66.356000       5.782612e+02   5.883563e+02   7.118432e+00
110   wumpus*       p25d    p25d hop(num-sampled-scenarios=05)             987          11.826748     167.181358       1.746753e+03   3.820518e+01   1.746753e+03
111   wumpus*       p25d    p25d hop(num-sampled-scenarios=10)             961           9.339230     127.113424       2.752920e+03   3.777251e+01   2.752920e+03
      family domain.file problem                       planner      instance.N planner.calls.mean plan.size.mean instance.time.mean prep.time.mean exec.time.mean

